lum,atm,int,sex,age,time
1,1.0,1,2,22,18
1,1.0,1,1,51,18
1,1.0,1,1,61,18
3,1.0,1,1,75,22
3,1.0,1,1,34,22
2,1.0,1,2,87,18
2,1.0,1,1,26,18
2,1.0,1,2,40,8
2,1.0,1,2,34,7
2,1.0,1,1,12,7
2,1.0,1,1,12,7
1,1.0,1,2,21,13
1,1.0,1,1,28,13
1,1.0,1,1,36,13
1,1.0,1,2,26,13
1,1.0,1,1,19,12
1,1.0,1,1,48,12
3,1.0,1,1,31,23
3,1.0,1,2,38,23
3,1.0,1,1,45,23
1,7.0,1,1,36,13
1,8.0,2,2,27,16
1,8.0,2,2,25,16
1,8.0,2,1,48,16
1,8.0,2,1,38,16
1,8.0,2,2,34,16
1,8.0,2,1,10,16
1,8.0,2,2,15,16
1,8.0,2,2,12,16
1,1.0,1,1,28,15
1,1.0,1,1,22,15
1,1.0,1,1,25,15
1,1.0,1,1,30,19
1,1.0,1,1,34,19
1,1.0,1,1,50,19
1,1.0,1,1,46,13
1,1.0,1,1,50,13
2,1.0,1,1,51,19
2,1.0,1,2,48,19
1,4.0,1,2,51,8
1,4.0,1,2,44,8
1,1.0,1,1,23,14
1,1.0,1,1,19,14
1,1.0,1,2,18,14
1,1.0,1,1,25,14
1,1.0,1,1,24,14
3,1.0,1,1,63,20
3,1.0,1,1,28,20
1,1.0,1,1,24,10
1,1.0,1,1,42,10
1,1.0,1,1,59,10
1,7.0,3,1,21,19
1,7.0,3,1,59,19
1,7.0,1,1,15,10
1,1.0,1,2,27,15
1,1.0,1,1,33,15
1,1.0,1,1,29,17
1,1.0,1,1,23,17
1,1.0,1,1,17,17
1,1.0,1,2,20,17
5,1.0,1,2,46,3
5,1.0,1,1,17,3
5,1.0,1,1,42,3
5,1.0,1,2,36,3
1,1.0,1,1,30,8
1,1.0,1,1,22,8
3,1.0,1,1,45,18
3,1.0,1,1,24,18
1,1.0,1,1,20,5
1,1.0,1,1,22,5
1,1.0,1,2,17,5
3,1.0,1,1,19,20
3,1.0,1,1,18,20
1,3.0,1,1,61,10
1,3.0,1,2,63,10
1,3.0,1,2,3,10
3,1.0,1,1,43,18
3,1.0,1,1,62,18
1,1.0,1,1,31,15
1,1.0,1,1,44,15
5,1.0,1,2,15,19
5,1.0,1,2,26,19
1,1.0,1,1,64,14
1,1.0,1,2,58,14
1,1.0,1,1,58,14
1,2.0,1,1,54,16
1,2.0,1,1,53,16
1,2.0,1,1,65,16
1,1.0,1,1,22,14
1,1.0,1,2,16,14
1,6.0,1,1,60,14
1,6.0,1,2,19,14
1,1.0,1,2,27,8
1,1.0,1,1,25,20
1,1.0,1,2,12,20
1,1.0,1,2,6,20
1,1.0,1,1,17,17
1,1.0,1,1,18,17
1,1.0,1,2,16,17
1,1.0,1,1,31,18
1,1.0,1,1,43,18
5,5.0,1,1,34,6
3,1.0,1,1,29,17
3,1.0,1,2,56,17
5,1.0,1,1,55,18
5,1.0,1,2,5,18
1,1.0,1,1,38,15
1,1.0,2,1,85,11
1,1.0,2,1,61,11
1,2.0,1,2,40,15
1,1.0,2,1,28,10
1,1.0,2,1,60,10
1,1.0,1,1,70,10
1,1.0,1,1,21,10
1,1.0,1,1,23,10
1,1.0,1,2,54,13
1,1.0,1,1,28,13
3,8.0,1,1,41,18
3,8.0,1,2,38,18
3,8.0,1,2,9,18
3,8.0,1,1,72,18
3,8.0,1,2,48,18
2,1.0,1,2,21,6
2,1.0,1,2,20,6
1,1.0,1,1,20,9
1,1.0,1,2,54,17
1,1.0,1,2,77,17
1,1.0,1,1,55,17
1,1.0,1,1,35,17
1,1.0,1,1,32,17
1,1.0,1,1,53,17
1,1.0,1,2,27,17
1,9.0,1,1,61,14
1,1.0,1,1,31,12
1,1.0,1,1,29,12
1,1.0,1,1,47,12
1,1.0,1,2,3,12
1,1.0,1,2,30,12
1,1.0,1,2,52,12
3,3.0,1,1,50,1
1,1.0,1,1,15,16
1,1.0,1,1,34,16
5,1.0,1,1,44,2
5,1.0,1,2,31,2
3,2.0,1,1,24,21
3,2.0,1,1,35,21
3,2.0,1,2,16,21
3,2.0,1,1,50,21
1,1.0,1,1,45,11
1,1.0,1,1,67,11
1,1.0,1,2,58,17
1,1.0,1,2,83,17
1,1.0,1,2,37,12
1,1.0,1,2,71,12
1,1.0,1,1,76,13
1,1.0,1,2,76,13
1,1.0,1,2,26,13
1,1.0,1,1,26,10
2,1.0,1,1,50,20
2,1.0,1,1,38,20
1,1.0,3,2,48,18
1,1.0,3,1,9,18
1,2.0,1,1,21,16
1,2.0,1,2,48,16
1,2.0,1,2,74,16
1,2.0,1,1,43,16
1,2.0,1,2,43,16
3,2.0,1,1,29,21
2,1.0,1,2,72,18
2,1.0,1,1,83,18
2,1.0,1,1,15,18
2,1.0,1,2,42,18
2,1.0,1,1,12,18
1,1.0,1,1,85,13
1,1.0,1,1,19,13
1,1.0,1,1,41,12
1,1.0,1,2,44,12
1,1.0,1,1,19,9
1,1.0,1,1,33,16
1,9.0,1,1,22,7
1,1.0,1,1,42,19
1,1.0,2,1,41,8
1,1.0,2,1,19,8
1,2.0,1,1,18,7
3,5.0,1,2,18,6
3,5.0,1,1,26,6
1,1.0,1,1,69,9
1,1.0,1,2,45,9
5,8.0,1,1,16,19
5,8.0,1,1,36,19
3,5.0,1,1,20,0
1,1.0,1,1,53,14
1,1.0,1,2,69,18
1,1.0,1,2,92,18
1,1.0,1,2,56,14
1,1.0,1,2,10,14
1,1.0,1,1,18,17
1,1.0,1,2,22,17
1,1.0,1,1,69,14
1,1.0,1,1,26,18
1,1.0,1,1,23,18
1,1.0,1,2,35,18
1,1.0,1,2,19,18
1,1.0,1,1,71,16
1,1.0,1,1,21,16
1,1.0,1,1,22,16
3,5.0,1,1,55,21
1,1.0,1,2,21,16
1,1.0,1,1,65,16
1,1.0,1,1,63,16
1,1.0,1,2,65,16
1,1.0,2,1,85,15
1,1.0,2,1,51,15
1,2.0,8,2,53,12
1,2.0,8,1,38,12
1,8.0,1,2,16,9
1,8.0,1,1,53,9
1,1.0,1,1,17,14
1,1.0,1,2,23,14
1,1.0,1,1,25,14
5,1.0,1,1,40,23
1,1.0,1,1,30,9
1,1.0,1,1,44,9
1,1.0,1,1,42,9
5,3.0,1,1,78,8
5,3.0,1,2,31,8
5,2.0,1,1,67,18
5,2.0,1,1,44,18
5,1.0,1,1,20,19
1,1.0,1,1,58,17
1,1.0,1,1,16,17
1,1.0,1,2,48,12
1,1.0,1,1,24,12
1,1.0,1,2,31,12
1,1.0,1,1,53,14
1,1.0,1,2,66,14
5,1.0,6,1,25,23
5,1.0,6,1,40,23
2,1.0,1,1,28,19
2,1.0,1,1,32,19
1,1.0,1,1,46,11
1,1.0,1,1,64,11
1,2.0,1,1,56,17
3,5.0,1,1,18,20
3,5.0,1,2,17,20
3,5.0,1,1,17,20
3,1.0,1,1,31,5
3,1.0,1,1,19,5
1,1.0,1,1,65,16
1,1.0,1,1,21,16
3,2.0,3,1,49,4
3,2.0,3,2,26,4
1,1.0,1,1,44,13
1,1.0,1,2,19,13
1,2.0,1,1,57,10
1,2.0,1,2,58,10
3,3.0,2,1,45,20
3,3.0,2,2,67,20
3,3.0,2,2,61,20
3,3.0,2,2,26,20
2,1.0,2,1,59,17
2,1.0,2,2,59,17
2,1.0,2,1,41,17
2,1.0,2,2,45,17
2,2.0,2,1,31,7
2,2.0,2,1,31,7
2,2.0,2,1,26,7
1,1.0,1,1,45,15
3,8.0,1,1,24,21
1,1.0,1,1,39,14
1,1.0,1,1,23,11
1,1.0,1,1,37,11
1,1.0,2,1,45,18
1,1.0,2,1,46,18
1,1.0,2,1,18,18
1,1.0,2,2,17,18
1,1.0,2,1,25,18
1,1.0,1,1,15,14
1,1.0,1,2,60,14
1,1.0,2,1,20,9
1,1.0,2,1,60,9
1,1.0,1,1,40,12
1,1.0,1,1,31,12
5,1.0,1,2,32,18
5,1.0,1,1,10,18
3,1.0,1,1,61,6
3,1.0,1,1,17,6
3,1.0,1,1,46,20
3,1.0,1,2,18,20
3,1.0,1,1,77,20
3,3.0,1,1,44,1
3,3.0,1,1,40,1
1,1.0,1,1,46,12
1,1.0,1,1,15,12
1,1.0,1,1,21,12
1,1.0,1,1,44,8
1,1.0,1,2,23,8
1,1.0,1,2,60,19
1,1.0,1,1,55,19
1,1.0,1,1,56,19
1,1.0,3,2,58,12
1,1.0,3,2,72,12
4,8.0,1,1,77,19
4,8.0,1,2,77,19
4,8.0,1,2,70,19
4,8.0,1,1,46,19
3,2.0,1,1,19,18
3,2.0,1,1,18,18
1,1.0,1,1,20,13
1,1.0,1,2,44,13
3,1.0,1,1,30,0
1,1.0,1,1,27,15
1,1.0,1,1,38,15
1,1.0,1,1,36,8
3,1.0,2,2,34,19
3,1.0,2,1,52,19
1,1.0,3,1,52,11
1,1.0,3,2,50,11
1,1.0,3,1,60,11
4,1.0,1,1,49,0
3,2.0,1,2,44,22
3,2.0,1,1,34,22
1,1.0,3,1,73,18
1,1.0,3,2,77,18
1,1.0,3,2,67,18
3,1.0,3,1,30,4
3,1.0,3,1,56,4
2,7.0,8,1,51,7
2,7.0,8,2,28,7
1,1.0,1,1,53,17
1,1.0,1,1,26,17
1,1.0,1,1,26,11
1,1.0,1,1,19,11
1,2.0,3,1,36,17
1,2.0,3,1,48,17
1,1.0,1,1,32,10
1,1.0,1,1,49,10
1,1.0,1,1,39,10
2,1.0,1,1,20,5
2,1.0,1,2,22,5
5,1.0,1,1,17,23
1,9.0,1,1,43,10
1,9.0,1,1,49,10
1,9.0,1,2,46,10
1,9.0,1,2,27,10
2,9.0,1,1,27,7
1,1.0,1,1,36,13
1,1.0,1,1,63,13
1,1.0,1,2,58,13
1,1.0,2,1,27,17
1,1.0,2,1,22,17
1,1.0,2,2,57,17
1,1.0,2,2,36,17
1,1.0,2,1,3,17
4,1.0,3,1,20,23
4,1.0,3,1,43,23
2,1.0,1,1,25,7
2,1.0,1,2,18,7
3,1.0,1,1,29,3
3,1.0,1,1,18,1
3,2.0,1,2,30,1
3,2.0,1,1,29,1
1,1.0,2,1,29,16
1,1.0,2,2,33,16
1,1.0,2,1,89,16
1,5.0,1,1,29,9
1,5.0,1,1,25,9
1,1.0,1,1,39,15
1,1.0,1,1,45,15
1,1.0,1,1,26,16
1,1.0,1,2,41,16
1,1.0,1,2,34,16
1,1.0,1,2,42,16
1,1.0,1,1,46,16
3,1.0,1,1,20,6
3,1.0,1,2,19,6
3,1.0,1,1,19,6
1,1.0,4,2,22,9
1,1.0,4,2,20,9
1,1.0,4,2,1,9
1,1.0,4,1,60,9
1,1.0,4,2,50,9
1,1.0,1,1,54,10
1,1.0,2,1,19,17
1,1.0,2,2,16,17
1,1.0,2,1,22,17
1,1.0,2,2,25,17
3,1.0,1,1,20,22
3,1.0,1,1,39,22
3,1.0,1,2,35,22
2,7.0,1,1,45,19
2,7.0,1,1,29,19
3,3.0,1,1,31,20
3,3.0,1,1,33,20
1,1.0,3,1,21,12
1,1.0,3,2,16,12
1,1.0,1,2,36,8
1,1.0,1,1,16,8
1,1.0,1,1,15,8
1,1.0,1,2,13,8
1,1.0,1,1,13,8
1,1.0,1,1,15,14
1,1.0,1,2,26,14
1,1.0,1,1,71,12
3,1.0,1,1,23,23
3,1.0,1,1,16,23
3,1.0,1,1,18,23
1,1.0,1,1,17,9
1,1.0,1,1,82,9
1,1.0,1,1,15,9
2,2.0,1,1,70,19
2,2.0,1,2,51,19
3,1.0,1,1,22,2
3,1.0,1,1,21,2
1,2.0,1,1,15,16
1,2.0,1,1,14,16
3,1.0,1,1,23,2
3,1.0,1,1,20,2
3,1.0,1,1,38,23
3,1.0,1,1,48,23
1,1.0,2,2,59,11
1,1.0,2,2,83,11
3,1.0,1,1,22,23
1,3.0,1,1,84,19
3,1.0,3,1,35,0
3,1.0,3,2,76,0
3,1.0,3,1,35,0
1,1.0,3,1,86,17
1,1.0,3,1,23,17
1,1.0,1,1,63,11
1,1.0,1,1,49,11
1,1.0,3,1,39,19
1,1.0,3,1,13,19
1,1.0,2,1,17,15
1,1.0,2,2,38,15
1,1.0,1,2,77,16
1,1.0,1,1,80,16
1,1.0,9,2,34,14
1,5.0,1,1,67,12
1,5.0,1,1,71,12
5,1.0,3,1,18,5
5,1.0,3,1,23,5
1,1.0,1,1,24,16
1,1.0,1,2,49,16
3,1.0,1,1,37,23
1,1.0,1,1,37,18
1,1.0,1,2,45,18
1,1.0,1,2,46,12
1,1.0,1,1,71,12
1,1.0,1,1,34,16
1,1.0,1,1,31,16
3,1.0,1,1,31,23
3,1.0,1,1,48,23
1,1.0,1,2,22,7
1,1.0,1,1,23,7
3,1.0,1,1,19,4
5,1.0,6,1,31,22
3,1.0,1,1,32,23
3,1.0,1,2,19,23
1,1.0,6,1,43,16
1,1.0,6,2,13,16
2,5.0,1,2,55,8
2,5.0,1,1,20,8
1,1.0,1,1,71,12
3,2.0,1,1,28,5
3,2.0,1,1,24,5
3,2.0,1,1,79,17
3,2.0,1,1,31,17
3,2.0,1,1,15,17
3,2.0,1,1,20,17
3,2.0,1,1,25,17
3,2.0,1,1,18,17
3,2.0,1,1,26,17
1,1.0,1,1,36,21
1,1.0,1,1,58,21
3,1.0,1,1,32,22
3,1.0,1,1,46,22
1,2.0,1,2,42,14
1,2.0,1,1,25,14
1,2.0,1,1,35,9
1,2.0,1,2,47,9
1,1.0,1,2,21,17
1,1.0,1,1,68,19
